komentar,komentar_bersih,setelah_preprocesing,setelah_normalisasi,setelah_normalisasi1
"sangat menarik yang disampaikan anggota dewan yang terhormat ini, bahas mengenai alokasi anggaran, namun seakan-akan taken for granted program2 yang diampu oleh kementerian/ dinas terkait bener2 jalan tanpa kebocoran. baiknya mungkin ya penjelasannya dari end to end, dari hulu alokasi anggaran sampai dengan realisasinya, outcomenya dapet tidak? ini bicaranya ngawang2 semuanya. qiqiqiqi",sangat menarik yang disampaikan anggota dewan yang terhormat ini bahas mengenai alokasi anggaran namun seakanakan taken for granted program2 yang diampu oleh kementerian dinas terkait bener2 jalan tanpa kebocoran baiknya mungkin ya penjelasannya dari end to end dari hulu alokasi anggaran sampai dengan realisasinya outcomenya dapet tidak ini bicaranya ngawang2 semuanya qiqiqiqi,menarik anggota dewan terhormat bahas alokasi anggaran seakanakan taken for granted program2 diampu kementerian dinas terkait bener2 jalan kebocoran baiknya ya penjelasannya end to end hulu alokasi anggaran realisasinya outcomenya dapet bicaranya ngawang2 qiqiqiqi,tarik anggota dewan hormat bahas alokasi anggar seakanakan taken for granted program2 ampu menteri dinas kait bener2 jalan bocor baik ya jelas end to end hulu alokasi anggar realisasi outcomenya dapet bicara ngawang2 qiqiqiqi,tarik anggota dewan hormat bahas alokasi anggar seakanakan taken for granted program2 ampu menteri dinas kait bener2 jalan bocor ya end to end hulu alokasi anggar realisasi outcomenya dapet bicara ngawang2 qiqiqiqi
yg penting jgn minta anggaran.,yg penting jgn minta anggaran,yg jgn anggaran,yg jgn anggar,anggar
dpr sok sok an,dpr sok sok an,dpr sok sok an,dpr sok sok an,dpr an
"yg membuat negara banyak hutang juga termasuk beban lu para dpr ,,tukang cerita dan drama ,,berkacalah,tunjangan terlalu banyak belum lagi instasi lainnya sama aja sih coba mau gak lo cuman dapet gaji bersih tanpa tunjangan 50 juta ,,pasti gak mau kan lu",yg membuat negara banyak hutang juga termasuk beban lu para dpr tukang cerita dan drama berkacalahtunjangan terlalu banyak belum lagi instasi lainnya sama aja sih coba mau gak lo cuman dapet gaji bersih tanpa tunjangan 50 juta pasti gak mau kan lu,yg negara hutang beban lu dpr tukang cerita drama berkacalahtunjangan instasi aja sih coba gak lo cuman dapet gaji bersih tunjangan 50 juta gak lu,yg negara hutang beban lu dpr tukang cerita drama berkacalahtunjangan instasi aja sih coba gak lo cuman dapet gaji bersih tunjang 50 juta gak lu,negara hutang beban lu dpr tukang cerita drama berkacalahtunjangan instasi sih coba gak lo cuman dapet gaji bersih tunjang 50 juta gak lu
"enak ya, terima gaji dengan non job, karyawan tak berguna yg tidak hadir.",enak ya terima gaji dengan non job karyawan tak berguna yg tidak hadir,enak ya terima gaji non job karyawan berguna yg hadir,enak ya terima gaji non job karyawan guna yg hadir,enak ya terima gaji non job karyawan hadir
jangan keras keras suhu. minimal skill satu dulu 😂,jangan keras keras suhu minimal skill satu dulu,keras keras suhu minimal skill,keras keras suhu minimal skill,keras keras suhu minimal skill
"dilihat serta didengar dari sekilas pendapat dari para anggota dpr,,sepertinya dpr hanya menjadi penghalang kerja menteri keuangan dan kemenkeu nya,,dpr ngribet i",dilihat serta didengar dari sekilas pendapat dari para anggota dprsepertinya dpr hanya menjadi penghalang kerja menteri keuangan dan kemenkeu nyadpr ngribet i,didengar sekilas pendapat anggota dprsepertinya dpr penghalang kerja menteri keuangan kemenkeu nyadpr ngribet i,dengar kilas dapat anggota dprsepertinya dpr halang kerja menteri uang kemenkeu nyadpr ngribet i,dengar kilas anggota dprsepertinya dpr halang kerja menteri uang kemenkeu nyadpr ngribet i
"kerjaannya, menghambat kebijakan, itulah dp r",kerjaannya menghambat kebijakan itulah dp r,kerjaannya menghambat kebijakan dp r,kerja hambat bijak dp r,kerja hambat bijak dp r
koment diatas bener semua. 😂,koment diatas bener semua,koment diatas bener,koment atas bener,koment bener
"yang harus di segerakan , pak dewan undang undang hukum mati koruptor , perampasan aset !!!!!!",yang harus di segerakan pak dewan undang undang hukum mati koruptor perampasan aset,segerakan dewan undang undang hukum mati koruptor perampasan aset,segera dewan undang undang hukum mati koruptor ampas aset,dewan undang undang hukum mati koruptor ampas aset
"punsi dpr  itu cuman bahas uan ,bukan bahas kesejahteraan rakyat",punsi dpr itu cuman bahas uan bukan bahas kesejahteraan rakyat,punsi dpr cuman bahas uan bahas kesejahteraan rakyat,punsi dpr cuman bahas uan bahas sejahtera rakyat,punsi dpr cuman bahas uan bahas sejahtera rakyat
"betapa bahagianya kita bila 1usd = 1rp
😊😊😊",betapa bahagianya kita bila 1usd 1rp,betapa bahagianya 1usd 1rp,betapa bahagia 1usd 1rp,betapa bahagia 1usd 1rp
anggota mpr aja dpr 😂,anggota mpr aja dpr,anggota mpr aja dpr,anggota mpr aja dpr,anggota mpr dpr
"semua orang bisa ,
cuma tinggal mental dan keberanian yg tulus untuk rakyat indonesia yg belum ada saat ini, 
 semoga cepat muncul",semua orang bisa cuma tinggal mental dan keberanian yg tulus untuk rakyat indonesia yg belum ada saat ini semoga cepat muncul,orang tinggal mental keberanian yg tulus rakyat indonesia yg semoga cepat muncul,orang tinggal mental berani yg tulus rakyat indonesia yg moga cepat muncul,orang tinggal mental berani tulus rakyat indonesia moga cepat muncul
"kelebihan bayar ""abah""",kelebihan bayar abah,kelebihan bayar abah,lebih bayar abah,bayar abah
anies pinter bikin jalan mulus jadi berlobang  buat nampung air😂,anies pinter bikin jalan mulus jadi berlobang buat nampung air,anies pinter bikin jalan mulus berlobang nampung air,anies pinter bikin jalan mulus berlobang nampung air,anies pinter bikin jalan mulus berlobang nampung air
​ @srikandijalanan hoam 😂 😂,​ srikandijalanan hoam,​ srikandijalanan hoam,srikandijalanan hoam,srikandijalanan hoam
"apa pejabat mau rakyat bertindak ganas seperti nepal,",apa pejabat mau rakyat bertindak ganas seperti nepal,pejabat rakyat bertindak ganas nepal,jabat rakyat tindak ganas nepal,jabat rakyat tindak ganas nepal
omong kosong semuanya,omong kosong semuanya,omong kosong,omong kosong,omong kosong
"ekonomi negara akan maju klau uangnya tidk di korupsi boss. gimana mau maju klo isinya pejabat korupsi, kalian cuma bisa korupsi, lalu hutang,  hbus itu peras rakyat lewat pajak buat bayar hutang negara. kocak",ekonomi negara akan maju klau uangnya tidk di korupsi boss gimana mau maju klo isinya pejabat korupsi kalian cuma bisa korupsi lalu hutang hbus itu peras rakyat lewat pajak buat bayar hutang negara kocak,ekonomi negara maju klau uangnya tidk korupsi boss gimana maju klo isinya pejabat korupsi korupsi hutang hbus peras rakyat pajak bayar hutang negara kocak,ekonomi negara maju klau uang tidk korupsi boss gimana maju klo isi jabat korupsi korupsi hutang hbus peras rakyat pajak bayar hutang negara kocak,ekonomi negara maju klau uang tidk korupsi boss gimana maju klo isi jabat korupsi korupsi hutang hbus peras rakyat pajak bayar hutang negara kocak
"herannya itu semua ini didiamkan selama ber dekade, baik dpr dan menkeu, sama2 salah, yang akhirnya menjadi bola salju, seharusnya reformasi trias politica, semoga ini semua ada karmanya",herannya itu semua ini didiamkan selama ber dekade baik dpr dan menkeu sama2 salah yang akhirnya menjadi bola salju seharusnya reformasi trias politica semoga ini semua ada karmanya,herannya didiamkan ber dekade dpr menkeu sama2 salah bola salju reformasi trias politica semoga karmanya,heran diam ber dekade dpr menkeu sama2 salah bola salju reformasi trias politica moga karma,heran diam ber dekade dpr menkeu sama2 salah bola salju reformasi trias politica moga karma
jangan kepdean banyak janji dulu pak mnkiu  tapi aku berharap bisa terlaksana sesuai janji anda 👍,jangan kepdean banyak janji dulu pak mnkiu tapi aku berharap bisa terlaksana sesuai janji anda,kepdean janji mnkiu berharap terlaksana sesuai janji,kepdean janji mnkiu harap laksana sesuai janji,kepdean janji mnkiu harap laksana sesuai janji
"yaelah, 0:01 itu misbakhun yang ikut kunjungan ke australi dan sempet mo ikut sydney run batal karena ketauan, 7:28 markus mekeng yang bilang uang haram kecil-kecilan ga apa, pake gaya ngasi nasehat wkwk",yaelah 001 itu misbakhun yang ikut kunjungan ke australi dan sempet mo ikut sydney run batal karena ketauan 728 markus mekeng yang bilang uang haram kecilkecilan ga apa pake gaya ngasi nasehat wkwk,yaelah 001 misbakhun kunjungan australi sempet mo sydney run batal ketauan 728 markus mekeng bilang uang haram kecilkecilan ga pake gaya ngasi nasehat wkwk,yaelah 001 misbakhun kunjung australi sempet mo sydney run batal tau 728 markus mekeng bilang uang haram kecilkecilan ga pake gaya ngasi nasehat wkwk,yaelah 001 misbakhun kunjung australi sempet mo sydney run batal tau 728 markus mekeng bilang uang haram kecilkecilan pake gaya ngasi nasehat wkwk
"transparan apbn guna nya supaya tidak ada lagi istilah,bila berlaba  yg diatas menikmati nya rakyat hanya menonton aja .tapi bila terjadi kerugian atau devisit  rakyat yg dibebani atau dikorban kan,misal nya semua nya dipajaki,dll🙏",transparan apbn guna nya supaya tidak ada lagi istilahbila berlaba yg diatas menikmati nya rakyat hanya menonton aja tapi bila terjadi kerugian atau devisit rakyat yg dibebani atau dikorban kanmisal nya semua nya dipajakidll,transparan apbn nya istilahbila berlaba yg diatas menikmati nya rakyat menonton aja kerugian devisit rakyat yg dibebani dikorban kanmisal nya nya dipajakidll,transparan apbn nya istilahbila laba yg atas nikmat nya rakyat tonton aja rugi devisit rakyat yg beban korban kanmisal nya nya dipajakidll,transparan apbn istilahbila laba nikmat rakyat tonton rugi devisit rakyat beban korban kanmisal dipajakidll
"untuk daerah"" yg bodo dalam mencari pendapatan lain, diluar dari tkd anggaran apbn. bisa gak itu daerah yg bodo kepala daerahnya merger aja sama daerah yg lain.",untuk daerah yg bodo dalam mencari pendapatan lain diluar dari tkd anggaran apbn bisa gak itu daerah yg bodo kepala daerahnya merger aja sama daerah yg lain,daerah yg bodo mencari pendapatan diluar tkd anggaran apbn gak daerah yg bodo kepala daerahnya merger aja daerah yg,daerah yg bodo cari dapat luar tkd anggar apbn gak daerah yg bodo kepala daerah merger aja daerah yg,daerah bodo cari tkd anggar apbn gak daerah bodo kepala daerah merger daerah
luar biasa pak purbaya. saya yakin ditangannya indonesia naik diatas 5 %,luar biasa pak purbaya saya yakin ditangannya indonesia naik diatas 5,purbaya ditangannya indonesia diatas 5,purbaya tang indonesia atas 5,purbaya tang indonesia 5
dpr tu kerja ny yg benar jgn ngoceh doang,dpr tu kerja ny yg benar jgn ngoceh doang,dpr tu kerja ny yg jgn ngoceh doang,dpr tu kerja ny yg jgn ngoceh doang,dpr tu kerja ny ngoceh doang
"suka cara bicara nya kader gerindra, jelas dan bisa di pahami",suka cara bicara nya kader gerindra jelas dan bisa di pahami,suka bicara nya kader gerindra pahami,suka bicara nya kader gerindra paham,suka bicara kader gerindra paham
"negara kebebanan hutang, pejabat-pejabat yang di bayar pajak rakyat mustinya turut ikat pinggang. instropeksi untuk semuab",negara kebebanan hutang pejabatpejabat yang di bayar pajak rakyat mustinya turut ikat pinggang instropeksi untuk semuab,negara kebebanan hutang pejabatpejabat bayar pajak rakyat mustinya ikat pinggang instropeksi semuab,negara beban hutang pejabatpejabat bayar pajak rakyat mustinya ikat pinggang instropeksi semuab,negara beban hutang pejabatpejabat bayar pajak rakyat mustinya ikat pinggang instropeksi semuab
hapus uang pensiun semua dewan yg terhormat,hapus uang pensiun semua dewan yg terhormat,hapus uang pensiun dewan yg terhormat,hapus uang pensiun dewan yg hormat,hapus uang pensiun dewan hormat
"yang katanya negara paling kaya, ternyata kaya akan hutang.",yang katanya negara paling kaya ternyata kaya akan hutang,negara kaya kaya hutang,negara kaya kaya hutang,negara kaya kaya hutang
y klu mau indonesia makmur.semua pejabat jngn koropsi klu koropsi di hukum mati.selesai.pasti rakyat makmur.,y klu mau indonesia makmursemua pejabat jngn koropsi klu koropsi di hukum matiselesaipasti rakyat makmur,y klu indonesia makmursemua pejabat jngn koropsi klu koropsi hukum matiselesaipasti rakyat makmur,y klu indonesia makmursemua jabat jngn koropsi klu koropsi hukum matiselesaipasti rakyat makmur,y klu indonesia makmursemua jabat jngn koropsi klu koropsi hukum matiselesaipasti rakyat makmur
mari kita kawal terus  setiap langkah dpr dan pemerintah,mari kita kawal terus setiap langkah dpr dan pemerintah,mari kawal langkah dpr pemerintah,mari kawal langkah dpr perintah,mari kawal langkah dpr perintah
dpr kalo ngomong kaya yg bener,dpr kalo ngomong kaya yg bener,dpr kalo ngomong kaya yg bener,dpr kalo ngomong kaya yg bener,dpr kalo ngomong kaya bener
kabinet omon 2 ombak besar pasir tidak ada  ! kalau ngomong anak 2 juga bisa ngomong ? ini menjelang jurang tidak dipungkiri krisis ekonomi  ? bisa botak kepala mencari celah keluar jurang ! ngaur dan bualan edan ! 😂😂😂,kabinet omon 2 ombak besar pasir tidak ada kalau ngomong anak 2 juga bisa ngomong ini menjelang jurang tidak dipungkiri krisis ekonomi bisa botak kepala mencari celah keluar jurang ngaur dan bualan edan,kabinet omon 2 ombak pasir ngomong anak 2 ngomong menjelang jurang dipungkiri krisis ekonomi botak kepala mencari celah jurang ngaur bualan edan,kabinet omon 2 ombak pasir ngomong anak 2 ngomong jelang jurang dipungkiri krisis ekonomi botak kepala cari celah jurang ngaur bual edan,kabinet omon 2 ombak pasir ngomong anak 2 ngomong jelang jurang dipungkiri krisis ekonomi botak kepala cari celah jurang ngaur bual edan
tikus tikus biasa lah ngelindungin sesamanya,tikus tikus biasa lah ngelindungin sesamanya,tikus tikus ngelindungin sesamanya,tikus tikus ngelindungin sama,tikus tikus ngelindungin
😊😊0⁰0😊⁰⁰😊,0⁰0⁰⁰,0⁰0⁰⁰,0 0,0 0
bijaklah mendadak biar berwibawa,bijaklah mendadak biar berwibawa,bijaklah mendadak biar berwibawa,bijak dadak biar wibawa,bijak dadak biar wibawa
tapi omongannya bener apa nggak?,tapi omongannya bener apa nggak,omongannya bener nggak,omong bener nggak,omong bener nggak
diisi orang orang begini gimana mau maju,diisi orang orang begini gimana mau maju,diisi orang orang gimana maju,isi orang orang gimana maju,isi orang orang gimana maju
yg ngisi gen bloomers ya gitu tau nya dia hidup di era soeharto,yg ngisi gen bloomers ya gitu tau nya dia hidup di era soeharto,yg ngisi gen bloomers ya gitu tau nya hidup era soeharto,yg ngisi gen bloomers ya gitu tau nya hidup era soeharto,ngisi gen bloomers ya gitu tau hidup era soeharto
"chaos kemarin kan juga gara2 komisi xi kagak becus kerjanya, kek begitu masih ngadain kunjungan ke australi, harusnya malu",chaos kemarin kan juga gara2 komisi xi kagak becus kerjanya kek begitu masih ngadain kunjungan ke australi harusnya malu,chaos kemarin gara2 komisi xi kagak becus kerjanya kek ngadain kunjungan australi malu,chaos kemarin gara2 komisi xi kagak becus kerja kek ngadain kunjung australi malu,chaos kemarin gara2 komisi xi kagak becus kerja kek ngadain kunjung australi malu
"yang sok nasehatin duluan dengan gaya meyakinkan itu biar dikira bersih tanpa cela. di sini harus tau track record seseorang sebelum percaya omongannya yang ""terlihat""meyakinkan.",yang sok nasehatin duluan dengan gaya meyakinkan itu biar dikira bersih tanpa cela di sini harus tau track record seseorang sebelum percaya omongannya yang terlihatmeyakinkan,sok nasehatin duluan gaya biar bersih cela tau track record percaya omongannya terlihatmeyakinkan,sok nasehatin duluan gaya biar bersih cela tau track record percaya omong terlihatmeyakinkan,nasehatin duluan gaya biar bersih cela tau track record percaya omong terlihatmeyakinkan
"muak jg gw dengernya wkwk, minta diefesiensi kemenkeu wkwk, gk mikir apa dpr gimana emang duitnya 🤣, pegawai menkeu kerja coyyy wkwkwkw",muak jg gw dengernya wkwk minta diefesiensi kemenkeu wkwk gk mikir apa dpr gimana emang duitnya 🤣 pegawai menkeu kerja coyyy wkwkwkw,muak jg gw dengernya wkwk diefesiensi kemenkeu wkwk gk mikir dpr gimana emang duitnya 🤣 pegawai menkeu kerja coyyy wkwkwkw,muak jg gw dengernya wkwk diefesiensi kemenkeu wkwk gk mikir dpr gimana emang duit pegawai menkeu kerja coyyy wkwkwkw,muak jg gw dengernya wkwk diefesiensi kemenkeu wkwk mikir dpr gimana emang duit pegawai menkeu kerja coyyy wkwkwkw
" @ikhwanulhakim-c5n  gw nonton full, yg keluar di mulutnya ga ada manfaat ataupun substansi.",ikhwanulhakimc5n gw nonton full yg keluar di mulutnya ga ada manfaat ataupun substansi,ikhwanulhakimc5n gw nonton full yg mulutnya ga manfaat substansi,ikhwanulhakimc5n gw nonton full yg mulut ga manfaat substansi,ikhwanulhakimc5n gw nonton full mulut manfaat substansi
dragonball lasu,dragonball lasu,dragonball lasu,dragonball lasu,dragonball lasu
"​ @ikhwanulhakim-c5n nyerang nya gak tepat itu, harusnya makro bukan mikro, masa di tanya uang dibagi pegawai 77k avarge 56 juta, gini aja deh, bangun rumah itu gk cukup yang penting berdiri, perlu sofa, lemari, meja dll lah ini to the point bakal di bagi ke karyawan kan aneh, kaya tukang kredit aja ngomong duit menohok gk liat mikro ""perusahaan"" butuh yang lain selain bayar karyawan aneh",​ ikhwanulhakimc5n nyerang nya gak tepat itu harusnya makro bukan mikro masa di tanya uang dibagi pegawai 77k avarge 56 juta gini aja deh bangun rumah itu gk cukup yang penting berdiri perlu sofa lemari meja dll lah ini to the point bakal di bagi ke karyawan kan aneh kaya tukang kredit aja ngomong duit menohok gk liat mikro perusahaan butuh yang lain selain bayar karyawan aneh,​ ikhwanulhakimc5n nyerang nya gak makro mikro uang dibagi pegawai 77k avarge 56 juta gini aja deh bangun rumah gk berdiri sofa lemari meja dll to the point karyawan aneh kaya tukang kredit aja ngomong duit menohok gk liat mikro perusahaan butuh bayar karyawan aneh,ikhwanulhakimc5n nyerang nya gak makro mikro uang bagi pegawai 77k avarge 56 juta gin aja deh bangun rumah gk diri sofa lemari meja dll to the point karyawan aneh kaya tukang kredit aja ngomong duit tohok gk liat mikro usaha butuh bayar karyawan aneh,ikhwanulhakimc5n nyerang gak makro mikro uang pegawai 77k avarge 56 juta gin deh bangun rumah sofa lemari meja dll to the point karyawan aneh kaya tukang kredit ngomong duit tohok liat mikro usaha butuh bayar karyawan aneh
"​ @sabiqulumam6780 menurut sy gak ada ""harusnya"" sih, karena mereka wakil rakyat jadinya sudut pandangnya dari hal yg langsung kena ke rakyatnya. apalagi skrg lagi panas kan, do'i bisa aja cari muka doang itu.",​ sabiqulumam6780 menurut sy gak ada harusnya sih karena mereka wakil rakyat jadinya sudut pandangnya dari hal yg langsung kena ke rakyatnya apalagi skrg lagi panas kan doi bisa aja cari muka doang itu,​ sabiqulumam6780 sy gak sih wakil rakyat sudut pandangnya yg langsung kena rakyatnya skrg panas doi aja cari muka doang,sabiqulumam6780 sy gak sih wakil rakyat sudut pandang yg langsung kena rakyat skrg panas doi aja cari muka doang,sabiqulumam6780 gak sih wakil rakyat sudut pandang langsung kena rakyat panas doi cari muka doang
"pak misbakhun takut ketahuan kongkalikong sama bu sri mulyani, sama sama lulusan stan kan",pak misbakhun takut ketahuan kongkalikong sama bu sri mulyani sama sama lulusan stan kan,misbakhun takut ketahuan kongkalikong bu sri mulyani lulusan stan,misbakhun takut tahu kongkalikong bu sri mulyani lulus stan,misbakhun takut kongkalikong bu sri mulyani lulus stan
yg pilih markus mekeng otaknya perlu di cek,yg pilih markus mekeng otaknya perlu di cek,yg pilih markus mekeng otaknya cek,yg pilih markus mekeng otak cek,pilih markus mekeng otak cek
kecil kecilan kalau haram tetep haram,kecil kecilan kalau haram tetep haram,kecilan haram tetep haram,kecil haram tetep haram,haram tetep haram
dpr jg terlalu besar anggarannya. mereka jg harus efesiensi agar bisa dimanfaatkan oleh rakyat,dpr jg terlalu besar anggarannya mereka jg harus efesiensi agar bisa dimanfaatkan oleh rakyat,dpr jg anggarannya jg efesiensi dimanfaatkan rakyat,dpr jg anggar jg efesiensi manfaat rakyat,dpr jg anggar jg efesiensi manfaat rakyat
"17:18 lu aja yg jadi mentri pak, pak purbaya bukan nabi hey",1718 lu aja yg jadi mentri pak pak purbaya bukan nabi hey,1718 lu aja yg mentri purbaya nabi hey,1718 lu aja yg tri purbaya nabi hey,1718 lu tri purbaya nabi hey
yakin terhormat?  mereka lebih pantas di sebut sampah negara 😅,yakin terhormat mereka lebih pantas di sebut sampah negara,terhormat sampah negara,hormat sampah negara,hormat sampah negara
s7,s7,s7,s7,s7
benar. kerja 5 tahun dapet pensiun. itu juga kalau kerja.,benar kerja 5 tahun dapet pensiun itu juga kalau kerja,kerja 5 dapet pensiun kerja,kerja 5 dapet pensiun kerja,kerja 5 dapet pensiun kerja
lagian kerja 5th ko dpt pensiun hapus biar ga boros angaran kami bosnya ko wakil dpt pensiunan dunia mau kiamat mirip nantinya kaya nefal,lagian kerja 5th ko dpt pensiun hapus biar ga boros angaran kami bosnya ko wakil dpt pensiunan dunia mau kiamat mirip nantinya kaya nefal,kerja 5th ko dpt pensiun hapus biar ga boros angaran bosnya ko wakil dpt pensiunan dunia kiamat kaya nefal,kerja 5th ko dpt pensiun hapus biar ga boros angaran bos ko wakil dpt pensiun dunia kiamat kaya nefal,kerja 5th ko dpt pensiun hapus biar boros angaran bos ko wakil dpt pensiun dunia kiamat kaya nefal
yg disembunyikan selama 15 tahun :(,yg disembunyikan selama 15 tahun,yg disembunyikan 15,yg sembunyi 15,sembunyi 15
"lucu ya mereka bicara anggaran untuk ini itu seolah olah mereka yakin akan tercapai, tp faktanya anggaran itu banyak dikorupsi. krna bnyak anggaran di korupsi disaat negara butuh tak ada spersen pun, akhirnya memilih hutang dengan bunga. dari hasil hutang itupun mereka tk ada pilihan untuk mencekik pajak rakyat untuk menutup hutang"" negara. yang di andelin mereka"" para pejabat malah ngandelin rakyat untuk bantu nutup hutangnya. bukanya ngasih keuntungan untuk rakyat mereka malah menyengsarakan rakyatnya sendiri.",lucu ya mereka bicara anggaran untuk ini itu seolah olah mereka yakin akan tercapai tp faktanya anggaran itu banyak dikorupsi krna bnyak anggaran di korupsi disaat negara butuh tak ada spersen pun akhirnya memilih hutang dengan bunga dari hasil hutang itupun mereka tk ada pilihan untuk mencekik pajak rakyat untuk menutup hutang negara yang di andelin mereka para pejabat malah ngandelin rakyat untuk bantu nutup hutangnya bukanya ngasih keuntungan untuk rakyat mereka malah menyengsarakan rakyatnya sendiri,lucu ya bicara anggaran olah tercapai tp faktanya anggaran dikorupsi krna bnyak anggaran korupsi disaat negara butuh spersen memilih hutang bunga hasil hutang itupun tk pilihan mencekik pajak rakyat menutup hutang negara andelin pejabat ngandelin rakyat bantu nutup hutangnya bukanya ngasih keuntungan rakyat menyengsarakan rakyatnya,lucu ya bicara anggar olah capai tp fakta anggar korupsi krna bnyak anggar korupsi saat negara butuh spersen pilih hutang bunga hasil hutang itu tk pilih cekik pajak rakyat tutup hutang negara andelin jabat ngandelin rakyat bantu nutup hutang buka ngasih untung rakyat sengsara rakyat,lucu ya bicara anggar olah capai fakta anggar korupsi krna bnyak anggar korupsi negara butuh spersen pilih hutang bunga hasil hutang tk pilih cekik pajak rakyat tutup hutang negara andelin jabat ngandelin rakyat bantu nutup hutang buka ngasih untung rakyat sengsara rakyat
koplak,koplak,koplak,koplak,koplak
bnr😂,bnr,bnr,bnr,bnr
lho kalo gk punya kemampuan kenapa diangkat,lho kalo gk punya kemampuan kenapa diangkat,lho kalo gk kemampuan diangkat,lho kalo gk mampu angkat,lho kalo angkat
"gaji dpr, mpr, dpd 5x ump yg ada repoblik ini agar kedepannya penggalangan anggota tdk cor2",gaji dpr mpr dpd 5x ump yg ada repoblik ini agar kedepannya penggalangan anggota tdk cor2,gaji dpr mpr dpd 5x ump yg repoblik kedepannya penggalangan anggota tdk cor2,gaji dpr mpr dpd 5x ump yg repoblik depan galang anggota tdk cor2,gaji dpr mpr dpd 5x ump repoblik galang anggota cor2
"aneh ngapain tokai yang bernama purbaya dipilih. lps aja hancur ditangan dia, purbaya ini ga ada ilmu, etika dan niat hidup. muka dia ngantok gitu n malas banget. mending pecat secara tidak terhormat",aneh ngapain tokai yang bernama purbaya dipilih lps aja hancur ditangan dia purbaya ini ga ada ilmu etika dan niat hidup muka dia ngantok gitu n malas banget mending pecat secara tidak terhormat,aneh ngapain tokai bernama purbaya dipilih lps aja hancur ditangan purbaya ga ilmu etika niat hidup muka ngantok gitu n malas banget mending pecat terhormat,aneh ngapain tokai nama purbaya pilih lps aja hancur tang purbaya ga ilmu etika niat hidup muka ngantok gitu n malas banget mending pecat hormat,aneh ngapain tokai nama purbaya pilih lps hancur tang purbaya ilmu etika niat hidup muka ngantok gitu n malas banget mending pecat hormat
"pejabat omon omon doang , tak ada yang bisa di harapkan !",pejabat omon omon doang tak ada yang bisa di harapkan,pejabat omon omon doang harapkan,jabat omon omon doang harap,jabat omon omon doang harap
indonesia banyak partai nya,indonesia banyak partai nya,indonesia partai nya,indonesia partai nya,indonesia partai
"mbg itu buang buang duit aja,, malah dijadikan ajang korupsi berjamaah",mbg itu buang buang duit aja malah dijadikan ajang korupsi berjamaah,mbg buang buang duit aja dijadikan ajang korupsi berjamaah,mbg buang buang duit aja jadi ajang korupsi jamaah,mbg buang buang duit ajang korupsi jamaah
pendidikan setuju gj guru  pa mentri,pendidikan setuju gj guru pa mentri,pendidikan setuju gj guru pa mentri,didik tuju gj guru pa tri,didik tuju gj guru pa tri
"dpr omong kosong  !!!  seperti lulusan sd, ijazah smp , sma nya  mungkin saja ijazah kejar paket. saya abrorry adams",dpr omong kosong seperti lulusan sd ijazah smp sma nya mungkin saja ijazah kejar paket saya abrorry adams,dpr omong kosong lulusan sd ijazah smp sma nya ijazah kejar paket abrorry adams,dpr omong kosong lulus sd ijazah smp sma nya ijazah kejar paket abrorry adams,dpr omong kosong lulus ijazah smp sma ijazah kejar paket abrorry adams
tax ratio yg sangat rendah itu sdh jjadi  issue sejak 10 -- 15 th yg lampau. sampai rapat ini  depkeu + dpr buntu mentok. ujung2 nya cari  utang baru dan naikiin  pajak. klasik banget,tax ratio yg sangat rendah itu sdh jjadi issue sejak 10 15 th yg lampau sampai rapat ini depkeu dpr buntu mentok ujung2 nya cari utang baru dan naikiin pajak klasik banget,tax ratio yg rendah sdh jjadi issue 10 15 th yg lampau rapat depkeu dpr buntu mentok ujung2 nya cari utang naikiin pajak klasik banget,tax ratio yg rendah sdh jjadi issue 10 15 th yg lampau rapat depkeu dpr buntu mentok ujung2 nya cari utang naikiin pajak klasik banget,tax ratio rendah jjadi issue 10 15 th lampau rapat depkeu dpr buntu mentok ujung2 cari utang naikiin pajak klasik banget
"permudah kredit ke masyarakat dengan limit lebih besar tapi bunganya yg ringan. bank bisa lah profitnya dikecilin, situasi juga sedang kurang bagus",permudah kredit ke masyarakat dengan limit lebih besar tapi bunganya yg ringan bank bisa lah profitnya dikecilin situasi juga sedang kurang bagus,permudah kredit masyarakat limit bunganya yg ringan bank profitnya dikecilin situasi bagus,mudah kredit masyarakat limit bunga yg ringan bank profit dikecilin situasi bagus,mudah kredit masyarakat limit bunga ringan bank profit dikecilin situasi bagus
