komentar,komentar_bersih,setelah_preprocesing
investasi juga menkeu yang mikirin. repot bener urusan sama wakil rakyat ini.,investasi juga menkeu yang mikirin repot bener urusan sama wakil rakyat ini,investasi menkeu mikirin repot bener urusan wakil rakyat
"ibu sri mulyani mentri keuangan terbaik sedunia dan lbih 10 thun di kmenkeu tp ekonomi tdak jauh dr 5,2 sd 5,5 mustahil pak menkeu mf🙏",ibu sri mulyani mentri keuangan terbaik sedunia dan lbih 10 thun di kmenkeu tp ekonomi tdak jauh dr 52 sd 55 mustahil pak menkeu mf,sri mulyani mentri keuangan terbaik sedunia lbih 10 thun kmenkeu tp ekonomi tdak dr 52 sd 55 mustahil menkeu mf
"kenapa masalah pendidikan jd urusan menkeu dah, kan ada menteri pendidikan. ingin dilihat pro rakyat alangkah baiknya dg berbenah diri dulu bapak ibu",kenapa masalah pendidikan jd urusan menkeu dah kan ada menteri pendidikan ingin dilihat pro rakyat alangkah baiknya dg berbenah diri dulu bapak ibu,pendidikan jd urusan menkeu dah menteri pendidikan pro rakyat alangkah baiknya dg berbenah
"untuk meningkatkan daya beli masyarakat , pikirkan kenaikan gajih tni , polri, asn dan pensiunan, tukin asn bila perlu dihilangkan,",untuk meningkatkan daya beli masyarakat pikirkan kenaikan gajih tni polri asn dan pensiunan tukin asn bila perlu dihilangkan,meningkatkan daya beli masyarakat pikirkan kenaikan gajih tni polri asn pensiunan tukin asn dihilangkan
mantap demokrat,mantap demokrat,mantap demokrat
yg di bahas seharus nya kenaikan gaji pns tni polri dan para pensiunan  mereka byr pajak,yg di bahas seharus nya kenaikan gaji pns tni polri dan para pensiunan mereka byr pajak,yg bahas seharus nya kenaikan gaji pns tni polri pensiunan byr pajak
"efisiensi2, gaji dpr tuh yang diefiesiensi!! mana dpt pensiun seumur hidup itu baru namanya beban negara!",efisiensi2 gaji dpr tuh yang diefiesiensi mana dpt pensiun seumur hidup itu baru namanya beban negara,efisiensi2 gaji dpr tuh diefiesiensi dpt pensiun seumur hidup namanya beban negara
"mantap 20% anggaran pendidikan, pangkas anggaran dinas",mantap 20 anggaran pendidikan pangkas anggaran dinas,mantap 20 anggaran pendidikan pangkas anggaran dinas
"pak menkeu tolong disiplinkan keuangan negara,,jangan sampe bnyak permintaan ini itu dari dpr
kerjalah buat rakyat pak
bukan buat dpr",pak menkeu tolong disiplinkan keuangan negarajangan sampe bnyak permintaan ini itu dari dpr kerjalah buat rakyat pak bukan buat dpr,menkeu tolong disiplinkan keuangan negarajangan sampe bnyak permintaan dpr kerjalah rakyat dpr
"sudah hafal dgan tingkah dpr, kalo ada mentri menonjol serang tros, knapa gak beri masukan dgan srimul kmaren,",sudah hafal dgan tingkah dpr kalo ada mentri menonjol serang tros knapa gak beri masukan dgan srimul kmaren,hafal dgan tingkah dpr kalo mentri menonjol serang tros knapa gak masukan dgan srimul kmaren
"dpr jngn bilang ke dana apbn  ngga sanggup,,  indonesia kan kaya, hasil pertambangan migas, tambang mas, dan hasil perkebunan , kemana itu semua, apa itu tujuan tau sama tau untuk korup kaliya.",dpr jngn bilang ke dana apbn ngga sanggup indonesia kan kaya hasil pertambangan migas tambang mas dan hasil perkebunan kemana itu semua apa itu tujuan tau sama tau untuk korup kaliya,dpr jngn bilang dana apbn ngga sanggup indonesia kaya hasil pertambangan migas tambang mas hasil perkebunan kemana tujuan tau tau korup kaliya
intinya kalau gak bisa bayar hutang maka semua tunjangan pejabat dihapus dan program2 astacita dikurangi. simpel kalau ada yg mudah ngapain dibikin sulit,intinya kalau gak bisa bayar hutang maka semua tunjangan pejabat dihapus dan program2 astacita dikurangi simpel kalau ada yg mudah ngapain dibikin sulit,intinya gak bayar hutang tunjangan pejabat dihapus program2 astacita dikurangi simpel yg mudah ngapain dibikin sulit
dpr tau mau salah ekonomi.,dpr tau mau salah ekonomi,dpr tau salah ekonomi
"kerja ge becus, bisa di simpulkan (ga guna plus nyuhasin org seumur hidup)",kerja ge becus bisa di simpulkan ga guna plus nyuhasin org seumur hidup,kerja ge becus simpulkan ga plus nyuhasin org seumur hidup
makanya srimulyani lama karena ngasih makan dpr,makanya srimulyani lama karena ngasih makan dpr,srimulyani ngasih makan dpr
kalau asn kerja 30 -40 th baru dpt pensiunan 😂😂,kalau asn kerja 30 40 th baru dpt pensiunan,asn kerja 30 40 th dpt pensiunan
setuju,setuju,setuju
"ironis kan, dewan perwakilan rakyat yang seharusnya bekerja untuk rakyat wkwk",ironis kan dewan perwakilan rakyat yang seharusnya bekerja untuk rakyat wkwk,ironis dewan perwakilan rakyat rakyat wkwk
dpr bener2 gaguna gunanya cuma ngabisin anggaran,dpr bener2 gaguna gunanya cuma ngabisin anggaran,dpr bener2 gaguna gunanya ngabisin anggaran
ini pak purbaya bro bukan smi,ini pak purbaya bro bukan smi,purbaya bro smi
bukannya dpr  wakil rakyat,bukannya dpr wakil rakyat,dpr wakil rakyat
"dpr, r nya kan rakyat 🗿",dpr r nya kan rakyat,dpr r nya rakyat
"kenapa baru sekarang protes,,padahal menteri ini masih baru.",kenapa baru sekarang protespadahal menteri ini masih baru,protespadahal menteri
setuju,setuju,setuju
setuju,setuju,setuju
dpr lapar duit,dpr lapar duit,dpr lapar duit
"menteri keuangan pertama memanjakan dpr 😂😅, muncul menteri pak purbaya dpr kelihatan resah😂😂",menteri keuangan pertama memanjakan dpr muncul menteri pak purbaya dpr kelihatan resah,menteri keuangan memanjakan dpr muncul menteri purbaya dpr resah
menkeu klo ahok pasti mantep hitung2annya,menkeu klo ahok pasti mantep hitung2annya,menkeu klo ahok mantep hitung2annya
"rakyat tdak butuh teori dan teori tinggi2  semata2 rkyt butuh realitas nyata yang pro pada rakyat dan dirasakan langsung oleh rakyat tidak mencekik rakyat tapi justtu sebaliknya memberi manfaat kepada rakyat yang sebesar2nya yaitu rakyat bisa menikmati kata2 membuai setiap pemilihan itu yaitu ""kesejahteraan"" tapi bagaimana mau ada kesejahteraan kalau kejahatan korupsi tak diperangi sampai tuntas setuntas2nya tanpa pandang bulu tanpa pandang status sosial yang melekat pada si oknum koruptor itu sendiri

ingat sehebat apapun teorimv kalau kejahatan korupsi tak diberantas maka teorimv cuma akan jadi teori isapan jempol doang",rakyat tdak butuh teori dan teori tinggi2 semata2 rkyt butuh realitas nyata yang pro pada rakyat dan dirasakan langsung oleh rakyat tidak mencekik rakyat tapi justtu sebaliknya memberi manfaat kepada rakyat yang sebesar2nya yaitu rakyat bisa menikmati kata2 membuai setiap pemilihan itu yaitu kesejahteraan tapi bagaimana mau ada kesejahteraan kalau kejahatan korupsi tak diperangi sampai tuntas setuntas2nya tanpa pandang bulu tanpa pandang status sosial yang melekat pada si oknum koruptor itu sendiri ingat sehebat apapun teorimv kalau kejahatan korupsi tak diberantas maka teorimv cuma akan jadi teori isapan jempol doang,rakyat tdak butuh teori teori tinggi2 semata2 rkyt butuh realitas nyata pro rakyat dirasakan langsung rakyat mencekik rakyat justtu manfaat rakyat sebesar2nya rakyat menikmati kata2 membuai pemilihan kesejahteraan kesejahteraan kejahatan korupsi diperangi tuntas setuntas2nya pandang bulu pandang status sosial melekat si oknum koruptor sehebat apapun teorimv kejahatan korupsi diberantas teorimv teori isapan jempol doang
"caranya mudah, yaitu how to lies with statistics?",caranya mudah yaitu how to lies with statistics,mudah how to lies with statistics
anak mentri keuangan yg baru ini jg sombong dan congkak. bpknya baru satu jam di lantik anaknya sdh menuduh sri mulyani dan hina rakyat miskin.,anak mentri keuangan yg baru ini jg sombong dan congkak bpknya baru satu jam di lantik anaknya sdh menuduh sri mulyani dan hina rakyat miskin,anak mentri keuangan yg jg sombong congkak bpknya jam lantik anaknya sdh menuduh sri mulyani hina rakyat miskin
"tukin kemenkeu, kementerian dan lembaga, provinsi, kab/kota perlu ditinjau ulang krn ikut membebani apbn.",tukin kemenkeu kementerian dan lembaga provinsi kabkota perlu ditinjau ulang krn ikut membebani apbn,tukin kemenkeu kementerian lembaga provinsi kabkota ditinjau ulang krn membebani apbn
"optimisme memang harus,namun hrs melihat situasi real saat ini secara global.",optimisme memang harusnamun hrs melihat situasi real saat ini secara global,optimisme harusnamun hrs situasi real global
"basi banget permainan ""bad cop"" & ""good cop"" di konoha ujung2nya biar bisa melobi masukin anggaran pesanan.",basi banget permainan bad cop good cop di konoha ujung2nya biar bisa melobi masukin anggaran pesanan,basi banget permainan bad cop good cop konoha ujung2nya biar melobi masukin anggaran pesanan
dpr dan anggotanya hapus tunjangan hapus fasilitas! gajinya umr seperti diluar negeri!,dpr dan anggotanya hapus tunjangan hapus fasilitas gajinya umr seperti diluar negeri,dpr anggotanya hapus tunjangan hapus fasilitas gajinya umr diluar negeri
tolong mentri keuangan persulitkan dpr mencairkan uang yg tidak jelas untuk dpr senayan kan bapak di kroyok dpr sekarang😂😂😂😂😂,tolong mentri keuangan persulitkan dpr mencairkan uang yg tidak jelas untuk dpr senayan kan bapak di kroyok dpr sekarang,tolong mentri keuangan persulitkan dpr mencairkan uang yg dpr senayan kroyok dpr
mantap2 pak biar rakyat makmur dan sejahtera,mantap2 pak biar rakyat makmur dan sejahtera,mantap2 biar rakyat makmur sejahtera
klo bisa efisiensi anggota dpr juga gmn? jangan cuma ngomong efisiensi di instansi kementrian. efisiensi dpr dari jumlah anggota sampai ke gaji umr !!,klo bisa efisiensi anggota dpr juga gmn jangan cuma ngomong efisiensi di instansi kementrian efisiensi dpr dari jumlah anggota sampai ke gaji umr,klo efisiensi anggota dpr gmn ngomong efisiensi instansi kementrian efisiensi dpr anggota gaji umr
"apbd mending dihabiskan, karena kebanyakan apbd dikoropsi para pejabat setempat, jangan sok gak tau kalian kalau semua apbd kebanyakan masuk kantong pribadi para pejabat dari bawah samapai ke kalaian yg di dpr",apbd mending dihabiskan karena kebanyakan apbd dikoropsi para pejabat setempat jangan sok gak tau kalian kalau semua apbd kebanyakan masuk kantong pribadi para pejabat dari bawah samapai ke kalaian yg di dpr,apbd mending dihabiskan kebanyakan apbd dikoropsi pejabat sok gak tau apbd kebanyakan masuk kantong pribadi pejabat samapai kalaian yg dpr
"indonesia akan kaya kalau uu prampasan aset disahkan dan hukuman mati para koruptor.dan akan lunas hutang""negara ini.rakyat akan makmur.kalau tikus""kator masih bersarang indonesia sampek kiamat akan gini""mulu😂😂😂",indonesia akan kaya kalau uu prampasan aset disahkan dan hukuman mati para koruptordan akan lunas hutangnegara inirakyat akan makmurkalau tikuskator masih bersarang indonesia sampek kiamat akan ginimulu,indonesia kaya uu prampasan aset disahkan hukuman mati koruptordan lunas hutangnegara inirakyat makmurkalau tikuskator bersarang indonesia sampek kiamat ginimulu
"pecat sblm korup
menteri sombong dan angkuh 🖕",pecat sblm korup menteri sombong dan angkuh,pecat sblm korup menteri sombong angkuh
"untuk mengejar pertumbuhan ekonomi 5 s.d 6% sangatlah bisa !! "" manakala dpr bertobat utk jangan lagi korupsi "" dan "" gaya hidup hedonistik """,untuk mengejar pertumbuhan ekonomi 5 sd 6 sangatlah bisa manakala dpr bertobat utk jangan lagi korupsi dan gaya hidup hedonistik,mengejar pertumbuhan ekonomi 5 sd 6 dpr bertobat utk korupsi gaya hidup hedonistik
utang mangkrak ulah siapa tuh,utang mangkrak ulah siapa tuh,utang mangkrak ulah tuh
mentri jg di bayar pegawai sipi saja ong kerjanya jg abal abl malah korupsi semua,mentri jg di bayar pegawai sipi saja ong kerjanya jg abal abl malah korupsi semua,mentri jg bayar pegawai sipi ong kerjanya jg abal abl korupsi
"orang2 culas ini bukan mewakili rakyat, tapi kepentingan oligarki dan pimpinan partai",orang2 culas ini bukan mewakili rakyat tapi kepentingan oligarki dan pimpinan partai,orang2 culas mewakili rakyat kepentingan oligarki pimpinan partai
dpr kualitasnya kaya gini gmn😂😂,dpr kualitasnya kaya gini gmn,dpr kualitasnya kaya gini gmn
kenapa media2 fokusnya hanya menayangkan bagian pertanyaan dpr? kenapa tidak fokus menayangkan jawaban pak purbaya yg secara teknis menjelaskan cara menumbuhkan perekonomian indonesia,kenapa media2 fokusnya hanya menayangkan bagian pertanyaan dpr kenapa tidak fokus menayangkan jawaban pak purbaya yg secara teknis menjelaskan cara menumbuhkan perekonomian indonesia,media2 fokusnya menayangkan dpr fokus menayangkan purbaya yg teknis menumbuhkan perekonomian indonesia
"tukin daerah sesuai kemampuan daerah itu pun sebagian besar kecil daripada di kementrian dan berdampak langsung kemasyarkat  karena dibelanjakan/meningkatkan daya beli untuk mengerakan ekonomi di daerah, yang harus dievalusi itu proyek2 besar yang tidak berdampak langsung ekonomi masyatakat kecil, yang pelaksanaan banyak indikasi korupsi dan meperkaya segelitir orang",tukin daerah sesuai kemampuan daerah itu pun sebagian besar kecil daripada di kementrian dan berdampak langsung kemasyarkat karena dibelanjakanmeningkatkan daya beli untuk mengerakan ekonomi di daerah yang harus dievalusi itu proyek2 besar yang tidak berdampak langsung ekonomi masyatakat kecil yang pelaksanaan banyak indikasi korupsi dan meperkaya segelitir orang,tukin daerah sesuai kemampuan daerah kementrian berdampak langsung kemasyarkat dibelanjakanmeningkatkan daya beli mengerakan ekonomi daerah dievalusi proyek2 berdampak langsung ekonomi masyatakat pelaksanaan indikasi korupsi meperkaya segelitir orang
"memang dpr itu udah banyak yg bermain sama mafia dibelakang layar. kalau bukan tangan 1 ya mgkin tangan ke 2-3-4, jd memang harus dipikirkan juga bgmn menekan mafia ini, supaya dpr juga berhenti bermain-main.",memang dpr itu udah banyak yg bermain sama mafia dibelakang layar kalau bukan tangan 1 ya mgkin tangan ke 234 jd memang harus dipikirkan juga bgmn menekan mafia ini supaya dpr juga berhenti bermainmain,dpr udah yg bermain mafia dibelakang layar tangan 1 ya mgkin tangan 234 jd dipikirkan bgmn menekan mafia dpr berhenti bermainmain
kenpa indonesia  sulit dan terlilit hutang jatuh tempo. kasalahannya hutang  di luar negri bukan untuk membangun  usaha negara tapi memperluas  aksis transportasi jalan dan lainya  agar infistor  asing  mau masuk ke indonesia untuk mananamkan usahanya. seandainya dari hutang untuk  membangun  usaha negara  menutup asing bangun pabrik - pabrik di indonesia. maka yg terjadi  akan banyak  pabrik milik indonesia. dan mampu  menyerap  tenaga  kerja dalam negri yg banyak.,kenpa indonesia sulit dan terlilit hutang jatuh tempo kasalahannya hutang di luar negri bukan untuk membangun usaha negara tapi memperluas aksis transportasi jalan dan lainya agar infistor asing mau masuk ke indonesia untuk mananamkan usahanya seandainya dari hutang untuk membangun usaha negara menutup asing bangun pabrik pabrik di indonesia maka yg terjadi akan banyak pabrik milik indonesia dan mampu menyerap tenaga kerja dalam negri yg banyak,kenpa indonesia sulit terlilit hutang jatuh tempo kasalahannya hutang negri membangun usaha negara memperluas aksis transportasi jalan lainya infistor asing masuk indonesia mananamkan usahanya seandainya hutang membangun usaha negara menutup asing bangun pabrik pabrik indonesia yg pabrik milik indonesia menyerap tenaga kerja negri yg
 @mustikasari3582  dibubarkan saja bro!,mustikasari3582 dibubarkan saja bro,mustikasari3582 dibubarkan bro
mereka memposisikan diri seperti yg terzolimi. padahal mereka pelaku utama.,mereka memposisikan diri seperti yg terzolimi padahal mereka pelaku utama,memposisikan yg terzolimi pelaku utama
"ga cuma dpr, gaji dan tunjangan seluruh legislatif dan exsekutif smpi dprd dan bumn hrs direfisi , dprd tunjangan rumah lbh dr dpr 78 jt/ bln, komisaris dan direktur bumn jg gaji selangit padahal merugi terus tiap tahun",ga cuma dpr gaji dan tunjangan seluruh legislatif dan exsekutif smpi dprd dan bumn hrs direfisi dprd tunjangan rumah lbh dr dpr 78 jt bln komisaris dan direktur bumn jg gaji selangit padahal merugi terus tiap tahun,ga dpr gaji tunjangan legislatif exsekutif smpi dprd bumn hrs direfisi dprd tunjangan rumah lbh dr dpr 78 jt bln komisaris direktur bumn jg gaji selangit merugi
bener bgt,bener bgt,bener bgt
betul,betul,
​​​ @mustikasari3582 mafia sampai mencret pun anda menekannya tak akan terbendung justru para pejabatmu dan pemerintahan yg harus cepat sahkan uu perampasan aset. jadi demo rakyat ini sudah betul dan mulailah jangan latah menyalahkan orang lain apalagi menyalahkan mafia. mafia tidak punya kuasa wewenang izin dll mafia kerjanya bisnis dan menguntungkan diri sendiri,​​​ mustikasari3582 mafia sampai mencret pun anda menekannya tak akan terbendung justru para pejabatmu dan pemerintahan yg harus cepat sahkan uu perampasan aset jadi demo rakyat ini sudah betul dan mulailah jangan latah menyalahkan orang lain apalagi menyalahkan mafia mafia tidak punya kuasa wewenang izin dll mafia kerjanya bisnis dan menguntungkan diri sendiri,​​​ mustikasari3582 mafia mencret menekannya terbendung pejabatmu pemerintahan yg cepat sahkan uu perampasan aset demo rakyat latah menyalahkan orang menyalahkan mafia mafia kuasa wewenang izin dll mafia kerjanya bisnis menguntungkan
" @mustikasari3582 salah satu untuk melancarkan bisnisnya , ya jadi anggota dpr , semua bisa berjalan mulus",mustikasari3582 salah satu untuk melancarkan bisnisnya ya jadi anggota dpr semua bisa berjalan mulus,mustikasari3582 salah melancarkan bisnisnya ya anggota dpr berjalan mulus
"bener banget, gedek banget sama tu orang, sok ngomongin benerin pendidikan dengan efisiensi belanja pegawai, gk mikir klo diefesiensi dr gaji pegawai, dipikir siapa yg menggerakan perekonomian 🤣, belanja di umkm siapa yg paling rame klo bukan dr kantor dan pns, halaahh",bener banget gedek banget sama tu orang sok ngomongin benerin pendidikan dengan efisiensi belanja pegawai gk mikir klo diefesiensi dr gaji pegawai dipikir siapa yg menggerakan perekonomian 🤣 belanja di umkm siapa yg paling rame klo bukan dr kantor dan pns halaahh,bener banget gedek banget tu orang sok ngomongin benerin pendidikan efisiensi belanja pegawai gk mikir klo diefesiensi dr gaji pegawai dipikir yg menggerakan perekonomian 🤣 belanja umkm yg rame klo dr kantor pns halaahh
"sulit bung, korupsi itu sudah mengakar di negeri ini. yang paling menyedihkan adalah manusia manusia yang kita sebut ""dpr"" ini sudah mewajarkan menaroh ""fee"" pada aspirasi yang mereka punya. dengan kata lain duit duit yang seharusnya untuk membangun malah dikeruk untuk ""balik modal""",sulit bung korupsi itu sudah mengakar di negeri ini yang paling menyedihkan adalah manusia manusia yang kita sebut dpr ini sudah mewajarkan menaroh fee pada aspirasi yang mereka punya dengan kata lain duit duit yang seharusnya untuk membangun malah dikeruk untuk balik modal,sulit korupsi mengakar negeri menyedihkan manusia manusia dpr mewajarkan menaroh fee aspirasi duit duit membangun dikeruk modal
"​​ @abdulsani-d2d itu belum tentu bisa tercapai, sdm dan teknologi di indonesia tidak sebagus negara negara yang sedang naik daun lainnya dan kita tidak bisa membuat produk yang berkualitas dengan kuantitas yang stabil. baiknya keduanya berjalan secara serentak. investasi dari luar datang supaya sdm bisa menyerap ilmu dan teknologi dari luar, dan pada sektor sektor yang sudah ready kita perkuat produksi lokal",​​ abdulsanid2d itu belum tentu bisa tercapai sdm dan teknologi di indonesia tidak sebagus negara negara yang sedang naik daun lainnya dan kita tidak bisa membuat produk yang berkualitas dengan kuantitas yang stabil baiknya keduanya berjalan secara serentak investasi dari luar datang supaya sdm bisa menyerap ilmu dan teknologi dari luar dan pada sektor sektor yang sudah ready kita perkuat produksi lokal,​​ abdulsanid2d tercapai sdm teknologi indonesia sebagus negara negara daun produk berkualitas kuantitas stabil baiknya berjalan serentak investasi sdm menyerap ilmu teknologi sektor sektor ready perkuat produksi lokal
"sebenarnya lebih ke korupsi soalnya merugikan banget mending kalau di kembalikan ini duitnya di bawa kabur ke luar negeri, yang enak orang orang sana ekonominya pada tumbuh disini macet 😂",sebenarnya lebih ke korupsi soalnya merugikan banget mending kalau di kembalikan ini duitnya di bawa kabur ke luar negeri yang enak orang orang sana ekonominya pada tumbuh disini macet,korupsi merugikan banget mending kembalikan duitnya bawa kabur negeri enak orang orang ekonominya tumbuh macet
makanya pada aji mumpung korupsi,makanya pada aji mumpung korupsi,aji mumpung korupsi
betul,betul,
tadi juga di channelnya dpr pas giliran pak purbaya ngejelasin juga langsung di endstream kok wkwk,tadi juga di channelnya dpr pas giliran pak purbaya ngejelasin juga langsung di endstream kok wkwk,channelnya dpr pas giliran purbaya ngejelasin langsung endstream wkwk
😂😂,,
betul,betul,
"upaya penggiringan opini, biar rakyat terkecoh😅",upaya penggiringan opini biar rakyat terkecoh,upaya penggiringan opini biar rakyat terkecoh
dpr malu,dpr malu,dpr malu
"emang perlu dibina sih semua dpr itu, pemain semua didalem sedih gua liatnya",emang perlu dibina sih semua dpr itu pemain semua didalem sedih gua liatnya,emang dibina sih dpr pemain didalem sedih gua liatnya
kagak begitu kagak nyayur brohhh 😂,kagak begitu kagak nyayur brohhh,kagak kagak nyayur brohhh
karena takut aib masalalu mereka di buka di publik,karena takut aib masalalu mereka di buka di publik,takut aib masalalu buka publik
dpr itu harus pandai semua kl kgk pa dai kgk bisa intervensi progres mentri berarti dpr pekok kabeh,dpr itu harus pandai semua kl kgk pa dai kgk bisa intervensi progres mentri berarti dpr pekok kabeh,dpr pandai kl kgk pa dai kgk intervensi progres mentri dpr pekok kabeh
golkar selama ini kemana saja. selama 20 tahun ga pernah bersuara !! hanya ngatur komisi dan fee anggaran !! saat kpk panggil jg bersembunyi !!,golkar selama ini kemana saja selama 20 tahun ga pernah bersuara hanya ngatur komisi dan fee anggaran saat kpk panggil jg bersembunyi,golkar kemana 20 ga bersuara ngatur komisi fee anggaran kpk panggil jg bersembunyi
"selalu mengatakan untuk rakyat dpr ini,tpi nyatanya mereka yg menikmati,,hadeh,,basi,,",selalu mengatakan untuk rakyat dpr initpi nyatanya mereka yg menikmatihadehbasi,rakyat dpr initpi yg menikmatihadehbasi
selanjutnya kalau rapat pemerintah dengan dewan memang harus di publish /diupload seperti ini agar masyarakat tahu dan ada cek and balance dalam bekerja,selanjutnya kalau rapat pemerintah dengan dewan memang harus di publish diupload seperti ini agar masyarakat tahu dan ada cek and balance dalam bekerja,rapat pemerintah dewan publish diupload masyarakat cek and balance
menteri keuangan buat pabrik singkong dan pabrik lain2 hasil nya buat tambah2 apbn kan lumayan tuh..tanah yang hgu nya ada indikasi enggak beres di kelola negara kan bisa??,menteri keuangan buat pabrik singkong dan pabrik lain2 hasil nya buat tambah2 apbn kan lumayan tuhtanah yang hgu nya ada indikasi enggak beres di kelola negara kan bisa,menteri keuangan pabrik singkong pabrik lain2 hasil nya tambah2 apbn lumayan tuhtanah hgu nya indikasi beres kelola negara
uang negara ini gk tumbuh2 akibat maling dpr yg gk terbendung,uang negara ini gk tumbuh2 akibat maling dpr yg gk terbendung,uang negara gk tumbuh2 akibat maling dpr yg gk terbendung
saya yakin menkeu yg baru ini punya kemampuan yaitu kemampuan menambai beban dan derita rakyat 🤣🤣🤣,saya yakin menkeu yg baru ini punya kemampuan yaitu kemampuan menambai beban dan derita rakyat 🤣🤣🤣,menkeu yg kemampuan kemampuan menambai beban derita rakyat 🤣🤣🤣
"kebanyakan diskusi g ada hasilnya buat apa bpk""terhormad",kebanyakan diskusi g ada hasilnya buat apa bpkterhormad,kebanyakan diskusi g hasilnya bpkterhormad
"yg merusak negara dan bangsa adalah koruptor maka dari itu  syahkan ruu perampasan aset koruptor hukum seberat beratya anggota dpr jangan terlalu di manjakan dengan tunjangan"" yg ga penting rakyat harus pantou terus kinerja dewan dewan dpr ini jangan kita tinggalkan nnti kalou masarakat lalei memantou akan kembali lagi seperti biasa",yg merusak negara dan bangsa adalah koruptor maka dari itu syahkan ruu perampasan aset koruptor hukum seberat beratya anggota dpr jangan terlalu di manjakan dengan tunjangan yg ga penting rakyat harus pantou terus kinerja dewan dewan dpr ini jangan kita tinggalkan nnti kalou masarakat lalei memantou akan kembali lagi seperti biasa,yg merusak negara bangsa koruptor syahkan ruu perampasan aset koruptor hukum seberat beratya anggota dpr manjakan tunjangan yg ga rakyat pantou kinerja dewan dewan dpr tinggalkan nnti kalou masarakat lalei memantou
"kita lihat siapa yg bisa kerja,,,atau cuma omong doang,,jangan kau buat rakyat marah lagi",kita lihat siapa yg bisa kerjaatau cuma omong doangjangan kau buat rakyat marah lagi,lihat yg kerjaatau omong doangjangan kau rakyat marah
"bumn2 noh rampingkan,, subsidi2 hapus aja ga masalah kalo bener2 bisa ngatur hulunya.",bumn2 noh rampingkan subsidi2 hapus aja ga masalah kalo bener2 bisa ngatur hulunya,bumn2 noh rampingkan subsidi2 hapus aja ga kalo bener2 ngatur hulunya
"ya indonesia emas kan enggak harus emas 24 karat pak,,,",ya indonesia emas kan enggak harus emas 24 karat pak,ya indonesia emas emas 24 karat
kebutuhan pisang dan telur  utk mbg kok golkar takut tdk terpenuhi di ntt kok pasimis amat ! telur dan pisang !,kebutuhan pisang dan telur utk mbg kok golkar takut tdk terpenuhi di ntt kok pasimis amat telur dan pisang,kebutuhan pisang telur utk mbg golkar takut tdk terpenuhi ntt pasimis telur pisang
eleh kerja dpr slama ini apa cobak.sok koar koar hasil nollllll.ujung ujung minta tunjangan itu ini.kentir kentie,eleh kerja dpr slama ini apa cobaksok koar koar hasil nollllllujung ujung minta tunjangan itu inikentir kentie,eleh kerja dpr slama cobaksok koar koar hasil nollllllujung ujung tunjangan inikentir kentie
"izin pak, anggaran air mineral dll setahun berapa ya?
bisa diganti air mineral botol plastik atau galon gak pak? toh ada gelas juga😁
kyaknya mayan deh selisihnya??🤔",izin pak anggaran air mineral dll setahun berapa ya bisa diganti air mineral botol plastik atau galon gak pak toh ada gelas juga kyaknya mayan deh selisihnya🤔,izin anggaran air mineral dll setahun ya diganti air mineral botol plastik galon gak gelas kyaknya mayan deh selisihnya🤔
ujungnya ujung saling membuat kesepakatan kong kali kong panggung sandiwara,ujungnya ujung saling membuat kesepakatan kong kali kong panggung sandiwara,ujungnya ujung kesepakatan kong kali kong panggung sandiwara
saya suka nyablak nya,saya suka nyablak nya,suka nyablak nya
"harus ada untuk dibuatkan dashboard visual kpi menteri keuangan dalam bentuk grafik dan tabel interaktif, sehingga bisa dipantau real-time seperti di kementerian keuangan modern di negara maju.",harus ada untuk dibuatkan dashboard visual kpi menteri keuangan dalam bentuk grafik dan tabel interaktif sehingga bisa dipantau realtime seperti di kementerian keuangan modern di negara maju,dibuatkan dashboard visual kpi menteri keuangan bentuk grafik tabel interaktif dipantau realtime kementerian keuangan modern negara maju
"purbaya harus hati-hati,dpr itu kuat menggoda",purbaya harus hatihatidpr itu kuat menggoda,purbaya hatihatidpr kuat menggoda
galakna media .setiap daerah harus berani memposting pendidikan yang bobrok.setiap rapat komite sekolah berani diekspos jadi tahu tuh .para elite yang cuma bisa duduk manis dan omon omon tanpa tidak tindakan kerja nyata.dimana kemajuan pendididikan dimana saranandan pendidiksn yang terburuk jadi bisa segera diperbaiki,galakna media setiap daerah harus berani memposting pendidikan yang bobroksetiap rapat komite sekolah berani diekspos jadi tahu tuh para elite yang cuma bisa duduk manis dan omon omon tanpa tidak tindakan kerja nyatadimana kemajuan pendididikan dimana saranandan pendidiksn yang terburuk jadi bisa segera diperbaiki,galakna media daerah berani memposting pendidikan bobroksetiap rapat komite sekolah berani diekspos tuh elite duduk manis omon omon tindakan kerja nyatadimana kemajuan pendididikan dimana saranandan pendidiksn terburuk diperbaiki
realita kaliii,realita kaliii,realita kaliii
"yang anehnya kan setiap dpr dapat tunjangan apresiasi untuk dapil, paling ga udh solving problem juga donk ya 😅",yang anehnya kan setiap dpr dapat tunjangan apresiasi untuk dapil paling ga udh solving problem juga donk ya,anehnya dpr tunjangan apresiasi dapil ga udh solving problem donk ya
"beban rakyat yg sesungguhnya 😮 tolong transparansi anggaran untuk masing-masing agt dpr pak menkeu, biar dirujak sm rakyat kl masih banyak cakap",beban rakyat yg sesungguhnya tolong transparansi anggaran untuk masingmasing agt dpr pak menkeu biar dirujak sm rakyat kl masih banyak cakap,beban rakyat yg sesungguhnya tolong transparansi anggaran masingmasing agt dpr menkeu biar dirujak sm rakyat kl cakap
